,fdc_id,data_type,description,food_category_id,publication_date
106,2340866,survey_fndds_food,"Chocolate milk, made from dry mix with fat free milk (Nesquik)",,2022-10-28
107,2340867,survey_fndds_food,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",,2022-10-28
108,2340868,survey_fndds_food,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",,2022-10-28
109,2340869,survey_fndds_food,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",,2022-10-28
110,2340870,survey_fndds_food,"Chocolate milk, made from syrup, NS as to type of milk",,2022-10-28
111,2340871,survey_fndds_food,"Chocolate milk, made from syrup with whole milk",,2022-10-28
112,2340872,survey_fndds_food,"Chocolate milk, made from syrup with reduced fat milk",,2022-10-28
113,2340873,survey_fndds_food,"Chocolate milk, made from syrup with low fat milk",,2022-10-28
114,2340874,survey_fndds_food,"Chocolate milk, made from syrup with fat free milk",,2022-10-28
115,2340875,survey_fndds_food,"Chocolate milk, made from syrup with non-dairy milk",,2022-10-28
116,2340876,survey_fndds_food,"Chocolate milk, made from light syrup with whole milk",,2022-10-28
117,2340877,survey_fndds_food,"Chocolate milk, made from light syrup with reduced fat milk",,2022-10-28
118,2340878,survey_fndds_food,"Chocolate milk, made from light syrup with low fat milk",,2022-10-28
119,2340879,survey_fndds_food,"Chocolate milk, made from light syrup with fat free milk",,2022-10-28
120,2340880,survey_fndds_food,"Chocolate milk, made from sugar free syrup with whole milk",,2022-10-28
121,2340881,survey_fndds_food,"Hot chocolate / Cocoa, made with dry mix and water",,2022-10-28
122,2340882,survey_fndds_food,"Hot chocolate / Cocoa, made with dry mix and whole milk",,2022-10-28
123,2340883,survey_fndds_food,"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",,2022-10-28
124,2340884,survey_fndds_food,"Hot chocolate / Cocoa, made with dry mix and low fat milk",,2022-10-28
125,2340885,survey_fndds_food,"Hot chocolate / Cocoa, made with dry mix and fat free milk",,2022-10-28
126,2340886,survey_fndds_food,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",,2022-10-28
127,2340887,survey_fndds_food,"Hot chocolate / Cocoa, made with no sugar added dry mix and water",,2022-10-28
128,2340888,survey_fndds_food,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",,2022-10-28
129,2340889,survey_fndds_food,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",,2022-10-28
130,2340890,survey_fndds_food,"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",,2022-10-28
131,2340891,survey_fndds_food,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",,2022-10-28
132,2340892,survey_fndds_food,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",,2022-10-28
133,2340893,survey_fndds_food,"Strawberry milk, NFS",,2022-10-28
134,2340894,survey_fndds_food,"Strawberry milk, whole",,2022-10-28
135,2340895,survey_fndds_food,"Strawberry milk, reduced fat",,2022-10-28
136,2340896,survey_fndds_food,"Strawberry milk, low fat",,2022-10-28
137,2340897,survey_fndds_food,"Strawberry milk, fat free",,2022-10-28
138,2340898,survey_fndds_food,"Strawberry milk, reduced sugar",,2022-10-28
139,2340899,survey_fndds_food,"Strawberry milk, non-dairy",,2022-10-28
140,2340900,survey_fndds_food,"Milk, malted",,2022-10-28
141,2340901,survey_fndds_food,Eggnog,,2022-10-28
142,2340902,survey_fndds_food,"Milk shake, home recipe, chocolate",,2022-10-28
144,2340904,survey_fndds_food,"Milk shake, home recipe, chocolate, light",,2022-10-28
146,2340906,survey_fndds_food,Milk shake with malt,,2022-10-28
147,2340907,survey_fndds_food,"Milk shake, fast food, chocolate",,2022-10-28
149,2340909,survey_fndds_food,"Milk shake, bottled, chocolate",,2022-10-28
152,2340912,survey_fndds_food,"Fruit smoothie, NFS",,2022-10-28
153,2340913,survey_fndds_food,"Fruit smoothie, with whole fruit and dairy",,2022-10-28
154,2340914,survey_fndds_food,"Fruit smoothie, with whole fruit and dairy, added protein",,2022-10-28
155,2340915,survey_fndds_food,"Fruit smoothie juice drink, with dairy",,2022-10-28
156,2340916,survey_fndds_food,Chocolate milk drink,,2022-10-28
226,2340986,survey_fndds_food,"Milk, dry, not reconstituted, NS as to fat content",,2022-10-28
227,2340987,survey_fndds_food,"Milk, dry, not reconstituted, fat free (skim)",,2022-10-28
228,2340988,survey_fndds_food,"Whey, sweet, dry",,2022-10-28
229,2340989,survey_fndds_food,"Cocoa powder, not reconstituted",,2022-10-28
230,2340990,survey_fndds_food,"Chocolate beverage powder, dry mix, not reconstituted",,2022-10-28
231,2340991,survey_fndds_food,"Chocolate beverage powder, light, dry mix, not reconstituted",,2022-10-28
232,2340992,survey_fndds_food,"Milk, malted, dry mix, not reconstituted",,2022-10-28
233,2340993,survey_fndds_food,"Strawberry beverage powder, dry mix, not reconstituted",,2022-10-28
235,2340995,survey_fndds_food,"Cream, light",,2022-10-28
236,2340996,survey_fndds_food,"Cream, half and half",,2022-10-28
238,2340998,survey_fndds_food,"Cream, half and half, fat free",,2022-10-28
239,2340999,survey_fndds_food,"Cream, heavy",,2022-10-28
240,2341000,survey_fndds_food,"Cream, whipped",,2022-10-28
241,2341001,survey_fndds_food,"Coffee creamer, NFS",,2022-10-28
242,2341002,survey_fndds_food,"Coffee creamer, liquid",,2022-10-28
244,2341004,survey_fndds_food,"Coffee creamer, liquid, fat free",,2022-10-28
248,2341008,survey_fndds_food,"Coffee creamer, powder",,2022-10-28
250,2341010,survey_fndds_food,"Coffee creamer, powder, fat free",,2022-10-28
253,2341013,survey_fndds_food,"Coffee creamer, soy, liquid",,2022-10-28
254,2341014,survey_fndds_food,Whipped topping,,2022-10-28
255,2341015,survey_fndds_food,"Whipped topping, fat free",,2022-10-28
256,2341016,survey_fndds_food,"Whipped topping, sugar free",,2022-10-28
257,2341017,survey_fndds_food,"Sour cream, regular",,2022-10-28
258,2341018,survey_fndds_food,"Sour cream, light",,2022-10-28
259,2341019,survey_fndds_food,"Sour cream, fat free",,2022-10-28
260,2341020,survey_fndds_food,"Sour cream, imitation",,2022-10-28
261,2341021,survey_fndds_food,"Dip, NFS",,2022-10-28
262,2341022,survey_fndds_food,"Chipotle dip, regular",,2022-10-28
263,2341023,survey_fndds_food,"Chipotle dip, light",,2022-10-28
264,2341024,survey_fndds_food,"Onion dip, regular",,2022-10-28
265,2341025,survey_fndds_food,"Onion dip, light",,2022-10-28
266,2341026,survey_fndds_food,"Ranch dip, regular",,2022-10-28
267,2341027,survey_fndds_food,"Ranch dip, light",,2022-10-28
268,2341028,survey_fndds_food,"Spinach dip, regular",,2022-10-28
269,2341029,survey_fndds_food,"Spinach dip, light",,2022-10-28
270,2341030,survey_fndds_food,"Vegetable dip, regular",,2022-10-28
271,2341031,survey_fndds_food,"Vegetable dip, light",,2022-10-28
