,fdc_id,data_type,description,food_category_id,publication_date
1130,2341890,survey_fndds_food,Bacalao guisado,,2022-10-28
1131,2341891,survey_fndds_food,"Meatballs, NS as to type of meat, with sauce",,2022-10-28
1132,2341892,survey_fndds_food,"Meat loaf, Puerto Rican style",,2022-10-28
1133,2341893,survey_fndds_food,Meat with tomato-based sauce,,2022-10-28
1134,2341894,survey_fndds_food,Spaghetti sauce with meat,,2022-10-28
1135,2341895,survey_fndds_food,Spaghetti sauce with meat and added vegetables,,2022-10-28
1137,2341897,survey_fndds_food,"Meat with gravy, NS as to type of meat,",,2022-10-28
1138,2341898,survey_fndds_food,"Beef and potatoes, no sauce",,2022-10-28
1139,2341899,survey_fndds_food,"Beef stew with potatoes, tomato-based sauce, Mexican style",,2022-10-28
1141,2341901,survey_fndds_food,"Beef, roast, hash",,2022-10-28
1143,2341903,survey_fndds_food,Beef and potatoes with cheese sauce,,2022-10-28
1144,2341904,survey_fndds_food,"Stewed, seasoned, ground beef with potatoes, Mexican style",,2022-10-28
1145,2341905,survey_fndds_food,"Beef and noodles, no sauce",,2022-10-28
1146,2341906,survey_fndds_food,Beef and macaroni with cheese sauce,,2022-10-28
1147,2341907,survey_fndds_food,Beef and noodles with tomato-based sauce,,2022-10-28
1148,2341908,survey_fndds_food,Chili con carne with beans and macaroni,,2022-10-28
1149,2341909,survey_fndds_food,Beef goulash with noodles,,2022-10-28
1150,2341910,survey_fndds_food,Beef and noodles with gravy,,2022-10-28
1152,2341912,survey_fndds_food,Beef stroganoff with noodles,,2022-10-28
1153,2341913,survey_fndds_food,Beef and noodles with mushroom sauce,,2022-10-28
1154,2341914,survey_fndds_food,Beef and noodles with soy-based sauce,,2022-10-28
1155,2341915,survey_fndds_food,"Beef and rice, no sauce",,2022-10-28
1156,2341916,survey_fndds_food,Biryani with meat,,2022-10-28
1157,2341917,survey_fndds_food,Beef and rice with tomato-based sauce,,2022-10-28
1159,2341919,survey_fndds_food,Beef and rice with gravy,,2022-10-28
1160,2341920,survey_fndds_food,Beef and rice with cream sauce,,2022-10-28
1161,2341921,survey_fndds_food,Beef and rice with mushroom sauce,,2022-10-28
1163,2341923,survey_fndds_food,Beef and rice with soy-based sauce,,2022-10-28
1164,2341924,survey_fndds_food,Beef and rice with cheese sauce,,2022-10-28
1165,2341925,survey_fndds_food,Meat loaf made with beef,,2022-10-28
1166,2341926,survey_fndds_food,"Meat loaf made with beef, with tomato-based sauce",,2022-10-28
1167,2341927,survey_fndds_food,Beef wellington,,2022-10-28
1169,2341929,survey_fndds_food,"Stuffed pot roast, with potatoes, Puerto Rican style",,2022-10-28
1170,2341930,survey_fndds_food,"Beef stew with potatoes, Puerto Rican style",,2022-10-28
1172,2341932,survey_fndds_food,Meat loaf made with ham,,2022-10-28
1174,2341934,survey_fndds_food,Ham and rice with mushroom sauce,,2022-10-28
1176,2341936,survey_fndds_food,Ham croquette,,2022-10-28
1178,2341938,survey_fndds_food,Sausage and rice with tomato-based sauce,,2022-10-28
1179,2341939,survey_fndds_food,Sausage and rice with mushroom sauce,,2022-10-28
1180,2341940,survey_fndds_food,Sausage and rice with cheese sauce,,2022-10-28
1182,2341942,survey_fndds_food,"Ham and noodles, no sauce",,2022-10-28
1186,2341946,survey_fndds_food,"Stewed pig's feet, Puerto Rican style",,2022-10-28
1193,2341953,survey_fndds_food,Meat loaf made with venison/deer,,2022-10-28
1207,2341967,survey_fndds_food,Biryani with chicken,,2022-10-28
1218,2341978,survey_fndds_food,"Crab, cake",,2022-10-28
1220,2341980,survey_fndds_food,Gefilte fish,,2022-10-28
1222,2341982,survey_fndds_food,Scallops and noodles with cheese sauce,,2022-10-28
1223,2341983,survey_fndds_food,"Shrimp and noodles, no sauce",,2022-10-28
1224,2341984,survey_fndds_food,Shrimp and noodles with gravy,,2022-10-28
1225,2341985,survey_fndds_food,Shrimp and noodles with mushroom sauce,,2022-10-28
1227,2341987,survey_fndds_food,Shrimp and noodles with soy-based sauce,,2022-10-28
1228,2341988,survey_fndds_food,Shrimp and noodles with cheese sauce,,2022-10-28
1229,2341989,survey_fndds_food,Shrimp and noodles with tomato sauce,,2022-10-28
1230,2341990,survey_fndds_food,Tuna loaf,,2022-10-28
1233,2341993,survey_fndds_food,Flounder with crab stuffing,,2022-10-28
1234,2341994,survey_fndds_food,"Lobster with bread stuffing, baked",,2022-10-28
1235,2341995,survey_fndds_food,Clams Casino,,2022-10-28
1237,2341997,survey_fndds_food,Shrimp with crab stuffing,,2022-10-28
1238,2341998,survey_fndds_food,Shrimp toast,,2022-10-28
1239,2341999,survey_fndds_food,Imitation crab meat,,2022-10-28
1240,2342000,survey_fndds_food,Seafood souffle,,2022-10-28
1242,2342002,survey_fndds_food,Tuna noodle casserole with mushroom sauce,,2022-10-28
1243,2342003,survey_fndds_food,Tuna and rice with mushroom sauce,,2022-10-28
1244,2342004,survey_fndds_food,Fish and rice with tomato-based sauce,,2022-10-28
1245,2342005,survey_fndds_food,Fish and rice with cream sauce,,2022-10-28
1246,2342006,survey_fndds_food,Fish and rice with mushroom sauce,,2022-10-28
1247,2342007,survey_fndds_food,Fish and noodles with mushroom sauce,,2022-10-28
1248,2342008,survey_fndds_food,Shellfish and noodles with tomato-based sauce,,2022-10-28
1249,2342009,survey_fndds_food,"Stewed salmon, Puerto Rican style",,2022-10-28
1250,2342010,survey_fndds_food,"Meat loaf, NS as to type of meat",,2022-10-28
1251,2342011,survey_fndds_food,"Meatballs, with breading, NS as to type of meat, with gravy",,2022-10-28
1255,2342015,survey_fndds_food,"Hash, NS as to type of meat",,2022-10-28
1256,2342016,survey_fndds_food,"Vienna sausages stewed with potatoes, Puerto Rican style",,2022-10-28
1259,2342019,survey_fndds_food,"Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce",,2022-10-28
1263,2342023,survey_fndds_food,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",,2022-10-28
1265,2342025,survey_fndds_food,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",,2022-10-28
1266,2342026,survey_fndds_food,Shepherd's pie,,2022-10-28
1268,2342028,survey_fndds_food,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",,2022-10-28
1272,2342032,survey_fndds_food,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",,2022-10-28
1274,2342034,survey_fndds_food,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",,2022-10-28
1276,2342036,survey_fndds_food,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",,2022-10-28
1278,2342038,survey_fndds_food,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",,2022-10-28
1281,2342041,survey_fndds_food,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",,2022-10-28
1283,2342043,survey_fndds_food,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",,2022-10-28
1285,2342045,survey_fndds_food,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",,2022-10-28
1287,2342047,survey_fndds_food,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",,2022-10-28
1289,2342049,survey_fndds_food,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",,2022-10-28
1292,2342052,survey_fndds_food,Stuffed cabbage rolls with beef and rice,,2022-10-28
1293,2342053,survey_fndds_food,Stuffed grape leaves with beef and rice,,2022-10-28
1295,2342055,survey_fndds_food,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",,2022-10-28
1297,2342057,survey_fndds_food,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",,2022-10-28
1299,2342059,survey_fndds_food,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",,2022-10-28
1301,2342061,survey_fndds_food,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",,2022-10-28
1302,2342062,survey_fndds_food,"Pot pie, beef",,2022-10-28
1304,2342064,survey_fndds_food,"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",,2022-10-28
1305,2342065,survey_fndds_food,"Stuffed green pepper, Puerto Rican style",,2022-10-28
1311,2342071,survey_fndds_food,"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",,2022-10-28
1316,2342076,survey_fndds_food,"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",,2022-10-28
1325,2342085,survey_fndds_food,"Ham, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",,2022-10-28
1331,2342091,survey_fndds_food,Stuffed grape leaves with lamb and rice,,2022-10-28
1333,2342093,survey_fndds_food,"Veal fricassee, Puerto Rican style",,2022-10-28
1334,2342094,survey_fndds_food,"Stewed rabbit, Puerto Rican style,",,2022-10-28
1377,2342137,survey_fndds_food,"Pot pie, chicken",,2022-10-28
1384,2342144,survey_fndds_food,"Chicken fricassee, Puerto Rican style",,2022-10-28
1385,2342145,survey_fndds_food,Paella with seafood,,2022-10-28
1387,2342147,survey_fndds_food,"Shrimp creole, with rice",,2022-10-28
1390,2342150,survey_fndds_food,"Fish, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",,2022-10-28
1391,2342151,survey_fndds_food,Bouillabaisse,,2022-10-28
1393,2342153,survey_fndds_food,Tuna noodle casserole with vegetables and mushroom sauce,,2022-10-28
1394,2342154,survey_fndds_food,"Codfish with starchy vegetables, Puerto Rican style",,2022-10-28
1395,2342155,survey_fndds_food,"Biscayne codfish, Puerto Rican style",,2022-10-28
1396,2342156,survey_fndds_food,"Stew, NFS",,2022-10-28
1398,2342158,survey_fndds_food,"Paella, NFS",,2022-10-28
1400,2342160,survey_fndds_food,"Stewed variety meats, mostly liver, Puerto Rican style",,2022-10-28
1401,2342161,survey_fndds_food,"Stewed tripe, with potatoes, Puerto Rican style",,2022-10-28
1402,2342162,survey_fndds_food,Gumbo with rice,,2022-10-28
1403,2342163,survey_fndds_food,Jambalaya with meat and rice,,2022-10-28
1405,2342165,survey_fndds_food,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",,2022-10-28
1406,2342166,survey_fndds_food,"Beef shish kabob with vegetables, excluding potatoes",,2022-10-28
1408,2342168,survey_fndds_food,Swiss steak,,2022-10-28
1410,2342170,survey_fndds_food,"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",,2022-10-28
1412,2342172,survey_fndds_food,"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",,2022-10-28
1414,2342174,survey_fndds_food,Beef and broccoli,,2022-10-28
1416,2342176,survey_fndds_food,Szechuan beef,,2022-10-28
1417,2342177,survey_fndds_food,Hunan beef,,2022-10-28
1419,2342179,survey_fndds_food,Kung Pao beef,,2022-10-28
1420,2342180,survey_fndds_food,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",,2022-10-28
1421,2342181,survey_fndds_food,"Beef, tofu, and vegetables excluding carrots, broccoli,  and dark-green leafy; no potatoes, soy-based sauce",,2022-10-28
1422,2342182,survey_fndds_food,"Beef and vegetables, Hawaiian style",,2022-10-28
1423,2342183,survey_fndds_food,Pepper steak,,2022-10-28
1424,2342184,survey_fndds_food,"Beef, ground, with egg and onion",,2022-10-28
1425,2342185,survey_fndds_food,Beef salad,,2022-10-28
1426,2342186,survey_fndds_food,"Beef taco filling: beef, cheese, tomato, taco sauce",,2022-10-28
1427,2342187,survey_fndds_food,Stir fried beef and vegetables in soy sauce,,2022-10-28
1429,2342189,survey_fndds_food,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",,2022-10-28
1430,2342190,survey_fndds_food,Seasoned shredded soup meat,,2022-10-28
1431,2342191,survey_fndds_food,"Beef stew with vegetables excluding potatoes, Puerto Rican style",,2022-10-28
1433,2342193,survey_fndds_food,"Beef steak with onions, Puerto Rican style",,2022-10-28
1434,2342194,survey_fndds_food,Cabbage with ham hocks,,2022-10-28
1447,2342207,survey_fndds_food,"Ham and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",,2022-10-28
1454,2342214,survey_fndds_food,"Sausage and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",,2022-10-28
1455,2342215,survey_fndds_food,"Sausage and peppers, no sauce",,2022-10-28
1459,2342219,survey_fndds_food,"Stuffed christophine, Puerto Rican style",,2022-10-28
1464,2342224,survey_fndds_food,"Lamb shish kabob with vegetables, excluding potatoes",,2022-10-28
1478,2342238,survey_fndds_food,General Tso chicken,,2022-10-28
1479,2342239,survey_fndds_food,Moo Goo Gai Pan,,2022-10-28
1480,2342240,survey_fndds_food,Kung pao chicken,,2022-10-28
1481,2342241,survey_fndds_food,Almond chicken,,2022-10-28
1508,2342268,survey_fndds_food,Crab salad,,2022-10-28
1509,2342269,survey_fndds_food,Lobster salad,,2022-10-28
1510,2342270,survey_fndds_food,Salmon salad,,2022-10-28
1512,2342272,survey_fndds_food,"Tuna salad, made with mayonnaise",,2022-10-28
1513,2342273,survey_fndds_food,"Tuna salad, made with light mayonnaise",,2022-10-28
1514,2342274,survey_fndds_food,"Tuna salad, made with mayonnaise-type salad dressing",,2022-10-28
1515,2342275,survey_fndds_food,"Tuna salad, made with light mayonnaise-type salad dressing",,2022-10-28
1516,2342276,survey_fndds_food,"Tuna salad, made with creamy dressing",,2022-10-28
1517,2342277,survey_fndds_food,"Tuna salad, made with light creamy dressing",,2022-10-28
1518,2342278,survey_fndds_food,"Tuna salad, made with Italian dressing",,2022-10-28
1519,2342279,survey_fndds_food,"Tuna salad, made with light Italian dressing",,2022-10-28
1520,2342280,survey_fndds_food,"Tuna salad, made with any type of fat free dressing",,2022-10-28
1521,2342281,survey_fndds_food,Shrimp salad,,2022-10-28
1522,2342282,survey_fndds_food,Seafood salad,,2022-10-28
1523,2342283,survey_fndds_food,Tuna salad with cheese,,2022-10-28
1524,2342284,survey_fndds_food,Tuna salad with egg,,2022-10-28
1526,2342286,survey_fndds_food,"Shrimp garden salad, shrimp, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",,2022-10-28
1527,2342287,survey_fndds_food,Crab salad made with imitation crab,,2022-10-28
1528,2342288,survey_fndds_food,"Fish, tofu, and vegetables, tempura",,2022-10-28
1529,2342289,survey_fndds_food,"Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",,2022-10-28
1531,2342291,survey_fndds_food,"Seafood garden salad with seafood, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",,2022-10-28
1533,2342293,survey_fndds_food,Oysters Rockefeller,,2022-10-28
1534,2342294,survey_fndds_food,Lomi salmon,,2022-10-28
1536,2342296,survey_fndds_food,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",,2022-10-28
1538,2342298,survey_fndds_food,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",,2022-10-28
1539,2342299,survey_fndds_food,"Shrimp shish kabob with vegetables, excluding potatoes",,2022-10-28
1540,2342300,survey_fndds_food,"Shrimp creole, no rice",,2022-10-28
1541,2342301,survey_fndds_food,Kung Pao shrimp,,2022-10-28
1542,2342302,survey_fndds_food,"Tuna casserole with vegetables and mushroom sauce, no noodles",,2022-10-28
1544,2342304,survey_fndds_food,"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",,2022-10-28
1546,2342306,survey_fndds_food,"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",,2022-10-28
1548,2342308,survey_fndds_food,"Fish and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, tomato-based sauce",,2022-10-28
1550,2342310,survey_fndds_food,"Fish and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",,2022-10-28
1551,2342311,survey_fndds_food,"Fish shish kabob with vegetables, excluding potatoes",,2022-10-28
1552,2342312,survey_fndds_food,"Fried fish with sauce, Puerto Rican style",,2022-10-28
1553,2342313,survey_fndds_food,"Lobster with sauce, Puerto Rican style",,2022-10-28
1554,2342314,survey_fndds_food,"Octopus salad, Puerto Rican style",,2022-10-28
1555,2342315,survey_fndds_food,"Codfish salad, Puerto Rican style, Serenata",,2022-10-28
1557,2342317,survey_fndds_food,Lau lau,,2022-10-28
1558,2342318,survey_fndds_food,"Julienne salad, meat, cheese, eggs, vegetables, no dressing",,2022-10-28
1559,2342319,survey_fndds_food,"Antipasto with ham, fish, cheese, vegetables",,2022-10-28
1560,2342320,survey_fndds_food,"Livers, chicken, chopped, with eggs and onion",,2022-10-28
1562,2342322,survey_fndds_food,"Stewed chitterlings, Puerto Rican style",,2022-10-28
1563,2342323,survey_fndds_food,"Stewed gizzards, Puerto Rican style",,2022-10-28
1564,2342324,survey_fndds_food,"Gumbo, no rice",,2022-10-28
1565,2342325,survey_fndds_food,"Sandwich, NFS",,2022-10-28
1566,2342326,survey_fndds_food,"Sandwich wrap, NFS",,2022-10-28
1567,2342327,survey_fndds_food,"Barbecue sandwich, NFS",,2022-10-28
1568,2342328,survey_fndds_food,"Sloppy joe sandwich, on white bun",,2022-10-28
1569,2342329,survey_fndds_food,"Sloppy joe sandwich, on wheat bun",,2022-10-28
1570,2342330,survey_fndds_food,"Barbecue beef sandwich, on white bun",,2022-10-28
1571,2342331,survey_fndds_food,"Barbecue beef sandwich, on wheat bun",,2022-10-28
1572,2342332,survey_fndds_food,"Cheeseburger slider, from fast food",,2022-10-28
1573,2342333,survey_fndds_food,"Cheeseburger, NFS",,2022-10-28
1574,2342334,survey_fndds_food,"Cheeseburger, from fast food, 1 small patty",,2022-10-28
1575,2342335,survey_fndds_food,Cheeseburger (Burger King),,2022-10-28
1576,2342336,survey_fndds_food,Whopper Jr with cheese (Burger King),,2022-10-28
1577,2342337,survey_fndds_food,Cheeseburger (McDonalds),,2022-10-28
1578,2342338,survey_fndds_food,"Cheeseburger, from school cafeteria",,2022-10-28
1579,2342339,survey_fndds_food,Cheeseburger slider,,2022-10-28
1580,2342340,survey_fndds_food,"Cheeseburger, on white bun, 1 small patty",,2022-10-28
1581,2342341,survey_fndds_food,"Cheeseburger, on wheat bun, 1 small patty",,2022-10-28
1582,2342342,survey_fndds_food,"Cheeseburger, from fast food, 1 medium patty",,2022-10-28
1583,2342343,survey_fndds_food,Quarter Pounder (McDonalds),,2022-10-28
1584,2342344,survey_fndds_food,Whopper with cheese (Burger King),,2022-10-28
1585,2342345,survey_fndds_food,Quarter Pounder with cheese (McDonalds),,2022-10-28
1586,2342346,survey_fndds_food,"Cheeseburger, on white bun, 1 medium patty",,2022-10-28
1587,2342347,survey_fndds_food,"Cheeseburger, on wheat bun, 1 medium patty",,2022-10-28
1588,2342348,survey_fndds_food,"Cheeseburger, on white bun, 1 large patty",,2022-10-28
1589,2342349,survey_fndds_food,"Cheeseburger, on wheat bun, 1 large patty",,2022-10-28
1590,2342350,survey_fndds_food,"Double cheeseburger, on white bun, 2 small patties",,2022-10-28
1591,2342351,survey_fndds_food,"Double cheeseburger, on wheat bun, 2 small patties",,2022-10-28
1592,2342352,survey_fndds_food,"Double cheeseburger, on white bun, 2 medium patties",,2022-10-28
1593,2342353,survey_fndds_food,"Double cheeseburger, on wheat bun, 2 medium patties",,2022-10-28
1594,2342354,survey_fndds_food,"Cheeseburger, from fast food, 1 large patty",,2022-10-28
1595,2342355,survey_fndds_food,"Double cheeseburger, on white bun, 2 large patties",,2022-10-28
1596,2342356,survey_fndds_food,"Double cheeseburger, on wheat bun, 2 large patties",,2022-10-28
1597,2342357,survey_fndds_food,"Double cheeseburger, from fast food, 2 small patties",,2022-10-28
1598,2342358,survey_fndds_food,Double cheeseburger (Burger King),,2022-10-28
1599,2342359,survey_fndds_food,Double cheeseburger (McDonalds),,2022-10-28
1600,2342360,survey_fndds_food,McDouble (McDonalds),,2022-10-28
1601,2342361,survey_fndds_food,Big Mac (McDonalds),,2022-10-28
1602,2342362,survey_fndds_food,"Double cheeseburger, from fast food, 2 medium patties",,2022-10-28
1603,2342363,survey_fndds_food,"Double cheeseburger, from fast food, 2 large patties",,2022-10-28
1604,2342364,survey_fndds_food,"Hamburger slider, from fast food",,2022-10-28
1605,2342365,survey_fndds_food,"Hamburger, NFS",,2022-10-28
1606,2342366,survey_fndds_food,"Hamburger, from fast food, 1 small patty",,2022-10-28
1607,2342367,survey_fndds_food,Hamburger (Burger King),,2022-10-28
1608,2342368,survey_fndds_food,Whopper Jr (Burger King),,2022-10-28
1609,2342369,survey_fndds_food,Hamburger (McDonalds),,2022-10-28
1610,2342370,survey_fndds_food,"Hamburger, from school cafeteria",,2022-10-28
1611,2342371,survey_fndds_food,Hamburger slider,,2022-10-28
1612,2342372,survey_fndds_food,"Hamburger, on white bun, 1 small patty",,2022-10-28
1613,2342373,survey_fndds_food,"Hamburger, on wheat bun, 1 small patty",,2022-10-28
1614,2342374,survey_fndds_food,"Hamburger, from fast food, 1 medium patty",,2022-10-28
1615,2342375,survey_fndds_food,"Hamburger, from fast food, 1 large patty",,2022-10-28
1616,2342376,survey_fndds_food,Whopper (Burger King),,2022-10-28
1617,2342377,survey_fndds_food,"Hamburger, on white bun, 1 medium patty",,2022-10-28
1618,2342378,survey_fndds_food,"Hamburger, on wheat bun, 1 medium patty",,2022-10-28
1619,2342379,survey_fndds_food,"Hamburger, on white bun, 1 large patty",,2022-10-28
1620,2342380,survey_fndds_food,"Hamburger, on wheat bun, 1 large patty",,2022-10-28
1621,2342381,survey_fndds_food,"Double hamburger, on white bun, 2 small patties",,2022-10-28
1622,2342382,survey_fndds_food,"Double hamburger, on wheat bun, 2 small patties",,2022-10-28
1623,2342383,survey_fndds_food,"Double hamburger, on white bun, 2 medium patties",,2022-10-28
1624,2342384,survey_fndds_food,"Double hamburger, on wheat bun, 2 medium patties",,2022-10-28
1625,2342385,survey_fndds_food,"Double hamburger, on white bun, 2 large patties",,2022-10-28
1626,2342386,survey_fndds_food,"Double hamburger, on wheat bun, 2 large patties",,2022-10-28
1627,2342387,survey_fndds_food,"Double hamburger, from fast food, 2 small patties",,2022-10-28
1628,2342388,survey_fndds_food,"Double hamburger, from fast food, 2 medium patties",,2022-10-28
1629,2342389,survey_fndds_food,"Double hamburger, from fast food, 2 large patties",,2022-10-28
1631,2342391,survey_fndds_food,Meatloaf sandwich,,2022-10-28
1637,2342397,survey_fndds_food,Reuben sandwich,,2022-10-28
1638,2342398,survey_fndds_food,Roast beef sandwich on white,,2022-10-28
1639,2342399,survey_fndds_food,"Roast beef sandwich on white, with cheese",,2022-10-28
1640,2342400,survey_fndds_food,Roast beef sandwich on wheat,,2022-10-28
1641,2342401,survey_fndds_food,"Roast beef sandwich on wheat, with cheese",,2022-10-28
1642,2342402,survey_fndds_food,French dip sandwich,,2022-10-28
1647,2342407,survey_fndds_food,Gyro sandwich,,2022-10-28
1648,2342408,survey_fndds_food,"Hamburger wrap sandwich, from fast food",,2022-10-28
1649,2342409,survey_fndds_food,Ham sandwich on white,,2022-10-28
1650,2342410,survey_fndds_food,"Ham sandwich on white, with cheese",,2022-10-28
1651,2342411,survey_fndds_food,Ham sandwich on wheat,,2022-10-28
1652,2342412,survey_fndds_food,"Ham sandwich on wheat, with cheese",,2022-10-28
1655,2342415,survey_fndds_food,Ham sandwich wrap,,2022-10-28
1656,2342416,survey_fndds_food,Ham salad sandwich on white,,2022-10-28
1657,2342417,survey_fndds_food,Ham salad sandwich on wheat,,2022-10-28
1658,2342418,survey_fndds_food,Cuban sandwich,,2022-10-28
1659,2342419,survey_fndds_food,Barbecue rib sandwich,,2022-10-28
1664,2342424,survey_fndds_food,"Bacon, lettuce, tomato sandwich on white",,2022-10-28
1665,2342425,survey_fndds_food,"Bacon, lettuce, tomato sandwich on wheat",,2022-10-28
1666,2342426,survey_fndds_food,Turkey sandwich on white,,2022-10-28
1667,2342427,survey_fndds_food,"Turkey sandwich on white, with cheese",,2022-10-28
1668,2342428,survey_fndds_food,Turkey sandwich on wheat,,2022-10-28
1669,2342429,survey_fndds_food,"Turkey sandwich on wheat, with cheese",,2022-10-28
1672,2342432,survey_fndds_food,Turkey sandwich wrap,,2022-10-28
1675,2342435,survey_fndds_food,Chicken salad sandwich on white,,2022-10-28
1676,2342436,survey_fndds_food,Chicken salad sandwich on wheat,,2022-10-28
1677,2342437,survey_fndds_food,Chicken salad sandwich wrap,,2022-10-28
1678,2342438,survey_fndds_food,Club sandwich on white,,2022-10-28
1679,2342439,survey_fndds_food,"Club sandwich on white, with cheese",,2022-10-28
1680,2342440,survey_fndds_food,Club sandwich on wheat,,2022-10-28
1681,2342441,survey_fndds_food,"Club sandwich on wheat, with cheese",,2022-10-28
1683,2342443,survey_fndds_food,"Barbecue chicken sandwich, on white bun",,2022-10-28
1684,2342444,survey_fndds_food,"Barbecue chicken sandwich, on wheat bun",,2022-10-28
1685,2342445,survey_fndds_food,"Chicken fillet sandwich, NFS",,2022-10-28
1686,2342446,survey_fndds_food,"Chicken fillet sandwich, from school cafeteria",,2022-10-28
1687,2342447,survey_fndds_food,"Chicken fillet biscuit, from fast food",,2022-10-28
1688,2342448,survey_fndds_food,"Chicken fillet sandwich, fried, from fast food",,2022-10-28
1689,2342449,survey_fndds_food,"Chicken fillet sandwich, fried, from fast food, with cheese",,2022-10-28
1690,2342450,survey_fndds_food,"Chicken fillet sandwich, grilled, from fast food",,2022-10-28
1691,2342451,survey_fndds_food,"Chicken fillet sandwich, grilled, from fast food, with cheese",,2022-10-28
1693,2342453,survey_fndds_food,"Chicken fillet sandwich, fried, on white bun",,2022-10-28
1694,2342454,survey_fndds_food,"Chicken fillet sandwich, fried, on white bun; with cheese",,2022-10-28
1695,2342455,survey_fndds_food,"Chicken fillet sandwich, fried, on wheat bun",,2022-10-28
1696,2342456,survey_fndds_food,"Chicken fillet sandwich, fried, on wheat bun, with cheese",,2022-10-28
1697,2342457,survey_fndds_food,"Chicken fillet sandwich, grilled, on white bun",,2022-10-28
1698,2342458,survey_fndds_food,"Chicken fillet sandwich, grilled, on white bun, with cheese",,2022-10-28
1699,2342459,survey_fndds_food,"Chicken fillet sandwich, grilled, on wheat bun",,2022-10-28
1700,2342460,survey_fndds_food,"Chicken fillet sandwich, grilled, on wheat bun, with cheese",,2022-10-28
1701,2342461,survey_fndds_food,"Chicken fillet wrap sandwich, fried, from fast food",,2022-10-28
1702,2342462,survey_fndds_food,"Chicken fillet wrap sandwich, grilled, from fast food",,2022-10-28
1705,2342465,survey_fndds_food,"Fish sandwich, fried, from fast food",,2022-10-28
1706,2342466,survey_fndds_food,"Fish sandwich, fried, from fast food, with cheese",,2022-10-28
1707,2342467,survey_fndds_food,Crab cake sandwich,,2022-10-28
1708,2342468,survey_fndds_food,Salmon cake sandwich,,2022-10-28
1709,2342469,survey_fndds_food,Fried seafood sandwich,,2022-10-28
1710,2342470,survey_fndds_food,"Fish sandwich, from school cafeteria",,2022-10-28
1711,2342471,survey_fndds_food,"Fish sandwich, NFS",,2022-10-28
1712,2342472,survey_fndds_food,"Fish sandwich, fried, on white bun",,2022-10-28
1713,2342473,survey_fndds_food,"Fish sandwich, fried, on white bun, with cheese",,2022-10-28
1714,2342474,survey_fndds_food,"Fish sandwich, fried, on wheat bun",,2022-10-28
1715,2342475,survey_fndds_food,"Fish sandwich, fried, on wheat bun, with cheese",,2022-10-28
